timestamp,Title,price,Original_Price,Shipping_Info,URL
2025-11-05 13:39:43,"Apple 10.9"" iPad 10th Gen 256GB Wi-Fi Only 12MP camera Wi-Fi 6, Silver MPQ83LL/A",$398.99,$549.99,N/A,https://www.ebay.com/itm/235987530798?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415
2025-11-05 13:39:53,Unknown,$398.99,NA,N/A,NA
2025-11-05 13:39:53,"Apple 10.9"" iPad 10th Gen 256GB Wi-Fi Only Blue MPQ93LLA",$369.99,$599.99,N/A,https://www.ebay.com/itm/235973955339?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415
2025-11-05 13:40:03,Unknown,$369.99,NA,N/A,NA
2025-11-05 13:40:03,Samsung Galaxy Buds2 Pro R510 - Good,$39.99,NA,N/A,https://www.ebay.com/itm/256411723549?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006419
2025-11-05 13:40:13,Unknown,$39.99,NA,N/A,NA
2025-11-05 13:40:13,Soundcore Life Q20 Wireless Over Ear Headphones ANC Hi-Res Bass 40Hr Play|Refurb,$29.99,NA,N/A,https://www.ebay.com/itm/384780174468?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006419
2025-11-05 13:40:14,Unknown,$29.99,NA,N/A,NA
2025-11-05 13:40:14,Samsung Galaxy Buds+ R175 - Excellent,$39.99,NA,N/A,https://www.ebay.com/itm/255881948076?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006419
2025-11-05 13:40:24,Unknown,$39.99,NA,N/A,NA
2025-11-05 13:40:24,Anker 347 Portable Charger 30W USB-C 4-Ports Power Bank 40000mAh Battery |Refurb,$49.99,$79.99,N/A,https://www.ebay.com/itm/386857348130?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006419
2025-11-05 13:40:26,Unknown,$49.99,NA,N/A,NA
2025-11-05 13:40:26,Soundcore Liberty 4 SE True Wireless Earbuds Heart Rate Sensor Noise Cancelling,$59.99,$149.99,N/A,https://www.ebay.com/itm/385693088002?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006419
2025-11-05 13:40:36,Unknown,$59.99,NA,N/A,NA
2025-11-05 13:40:36,"Toshiba MG08ACP16TE 16TB 512MB 7200RPM SATA 6.0Gb/s 3.5"" Internal Enterprise HDD",$199.99,$239.99,N/A,https://www.ebay.com/itm/167745461033?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006421
2025-11-05 13:40:37,Unknown,$199.99,NA,N/A,NA
2025-11-05 13:40:37,Recertified 4TB WD My Passport Portable External HDD - RWDBPKJ0040BBK-WESN,$93.74,$124.99,N/A,https://www.ebay.com/itm/297589953870?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006421
2025-11-05 13:40:38,Unknown,$93.74,NA,N/A,NA
2025-11-05 13:40:38,"WD Ultrastar DC HC530 14TB SATA 6G 3.5"" 7200RPM Enterprise HDD - WUH721414ALE604",$179.99,$199.99,N/A,https://www.ebay.com/itm/155672990441?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006421
2025-11-05 13:40:39,Unknown,$179.99,NA,N/A,NA
